,feature,corr,rf,xgb,lgb,corr_rank,rf_rank,xgb_rank,lgb_rank,rank
13,信用额度比min_y,0.07897594746084513,0.005311398808313362,0.0020203518,180,14.0,54.0,168.0,141.0,377.0
103,居住信息sum,0.049937249246271735,0.0054769556887866045,0.0019315401,949,104.0,51.0,188.0,36.0,379.0
63,申请额度sum比_a,0.05854004813217669,0.003488699009462556,0.0027728218,140,64.0,81.0,69.0,172.0,386.0
146,贷款类型,0.041881466704050144,0.0017668978948525637,0.0050606113,340,147.0,145.0,16.0,99.0,407.0
69,居住信息3,0.05741998895882509,0.007127635028784419,0.0016660291000000001,1014,70.0,33.0,285.0,34.0,422.0
210,收益级别_2mean_x,0.03324291003183333,0.0022247015476591653,0.006403028000000001,465,211.0,124.0,9.0,79.0,423.0
48,客户类型_0sum_x,0.06679070274599565,0.003531980653303893,0.004802009,55,49.0,79.0,18.0,278.0,424.0
117,行业_2mean_x,0.04649488398859577,0.002755709749628472,0.00241242,331,118.0,109.0,98.0,100.0,425.0
168,首付时间max_x,0.03858056753308014,0.00421281061837009,0.0025340563,234,169.0,68.0,83.0,120.0,440.0
256,本期还款金额mean,0.02804928666388081,0.00638274368259834,0.0022710551999999998,1079,257.0,41.0,116.0,30.0,444.0
16,客户居住地评分sum,0.07857675521747856,0.00593487934965563,0.005295571,19,17.0,46.0,15.0,369.0,447.0
45,贷款类型_0mean_y,0.06899473332119199,0.003044176649539305,0.0058083245999999995,49,46.0,98.0,12.0,294.0,450.0
312,首付金额max_x,0.021953716599610467,0.006729672166213504,0.0032548138,613,313.0,37.0,45.0,63.0,458.0
83,注册日期距申请日期月数,0.05435835535470608,0.004576996942130828,0.0016800946,1012,84.0,63.0,277.0,35.0,459.0
61,地址是否一致标志2,0.0587923444591041,0.0017679885846422915,0.002860633,113,62.0,144.0,61.0,202.0,469.0
368,贷款年金,0.015839982650601908,0.0063021604980914355,0.0028922115,2916,369.0,43.0,59.0,2.0,473.0
292,本期贷款金额sumsumsum,0.02374837273633287,0.006136385588114174,0.0024379347,922,293.0,45.0,96.0,40.0,474.0
82,注册日期距申请日期天数,0.054360134508790486,0.0046847143584683925,0.0015645682999999998,1780,83.0,61.0,320.0,10.0,474.0
112,信用额度max_y,0.04796503418099863,0.0034620644175682425,0.0026102292,100,113.0,84.0,77.0,210.0,484.0
79,贷款年金sum比_a,0.055119891249699064,0.003587375670201124,0.0019748576,164,80.0,75.0,178.0,152.0,485.0
54,付款方式_3mean_y,0.06319105283729719,0.0026466320462167907,0.0020944932,142,55.0,113.0,150.0,169.0,487.0
36,商品类别_27mean_y,0.074670511007808,0.0020892921675394354,0.008103197,38,37.0,130.0,5.0,315.0,487.0
152,历史贷款授信距本次申请时间mean_x,0.04110070307152307,0.004404946257840089,0.001790572,920,153.0,66.0,233.0,41.0,493.0
273,信用额度比max_x,0.025564445574168995,0.005922131950035557,0.0020477127,1427,274.0,47.0,161.0,15.0,497.0
95,拟实际应还贷款金额max_y,0.05169064721683291,0.003276742398777889,0.0020687936,154,96.0,89.0,155.0,160.0,500.0
12,付款方式_3sum_y,0.07946946436257986,0.002596683148210247,0.0034521206,28,13.0,114.0,38.0,335.0,500.0
286,本期贷款金额min,0.024353049777611067,0.006676642591190734,0.0020415402999999998,1618,287.0,38.0,163.0,12.0,500.0
84,产品类型_1mean_x,0.054109520699248986,0.0015103090562581082,0.002275516,160,85.0,157.0,115.0,157.0,514.0
159,组合类型_3sum_x,0.03997543266196914,0.002037768230153947,0.0027886652,135,160.0,131.0,65.0,178.0,534.0
86,产品组合_7.0sum_x,0.05355208985134408,0.0027619262178250076,0.0022903804,84,87.0,108.0,112.0,229.0,536.0
106,拟申请核准率_a,0.04956680636525345,0.003230472428571359,0.00201788,142,107.0,90.0,171.0,169.0,537.0
249,是否有车,0.02863547433185776,0.0014278826638082372,0.004593952,258,250.0,159.0,19.0,113.0,541.0
151,历史贷款授信距本次申请月数mean_x,0.04110963463200682,0.003954466464383228,0.001719324,688,152.0,71.0,266.0,55.0,544.0
9,合同状态_2sum_y,0.08279816324519486,0.0017798159721376606,0.0038799238000000002,19,10.0,143.0,30.0,369.0,552.0
191,商品类别_11mean_x,0.03557823250726756,0.0012469831210266806,0.0026284182,203,192.0,166.0,76.0,134.0,568.0
158,付款方式_3mean_x,0.04002214427920008,0.0015299158497448016,0.00201883,398,159.0,155.0,170.0,89.0,573.0
182,贷款类型_Asum_x,0.03683815460524467,0.0018388574669867305,0.0031729762,110,183.0,140.0,48.0,203.0,574.0
133,收益级别_2sum_x,0.04396216401448701,0.001411266074652835,0.004568387,67,134.0,162.0,21.0,257.0,574.0
98,贷款年金max_y,0.05126873450909837,0.00176520012146313,0.0019803694,155,99.0,146.0,176.0,159.0,580.0
220,申请额度max_x,0.03213437989440634,0.0035539255534911616,0.0018493035999999998,520,221.0,78.0,212.0,73.0,584.0
176,产品组合_12.0mean_x,0.03778266319640315,0.0014159504554806922,0.002152947,261,177.0,161.0,135.0,111.0,584.0
75,历史贷款授信距本次申请月数min_x,0.05570597263389291,0.006329404741959097,0.0015529945000000002,184,76.0,42.0,327.0,139.0,584.0
118,收益级别_0mean_x,0.04642966452667188,0.001695891190024091,0.0018944948,250,119.0,149.0,201.0,117.0,586.0
208,是否逾期sumsum,0.033409296466577164,0.004821855217871773,0.001968956,174,209.0,59.0,179.0,145.0,592.0
124,贷款年金mean_y,0.044896039304098856,0.002166581198601511,0.0018445310000000002,218,125.0,126.0,217.0,127.0,595.0
41,贷款类型_0sum_y,0.07115851277591037,0.0015316346436561414,0.005984955,16,42.0,154.0,11.0,388.0,595.0
173,付款方式_0sum_x,0.038065511542586236,0.0023076384826818115,0.0020415542999999998,178,174.0,122.0,162.0,143.0,601.0
60,信用额度sum比_a,0.05946573342075465,0.0034313694199074305,0.0017272332,115,61.0,85.0,259.0,201.0,606.0
166,首付月数max_x,0.03867746555663331,0.0037427851769291907,0.0039440054,27,167.0,73.0,29.0,338.0,607.0
43,行业_10mean_y,0.06993796226757533,0.0008979793750649252,0.0044298440000000005,26,44.0,202.0,23.0,343.0,612.0
121,收益级别_3mean_x,0.045962893750554366,0.0038682228925892522,0.0014885229,531,122.0,72.0,348.0,71.0,613.0
104,居住信息mean,0.04993724924627173,0.006290593313318061,0.0016893484,122,105.0,44.0,273.0,193.0,615.0
345,拟实际应还贷款金额mean_x,0.017944945052516162,0.0032016997267363388,0.0020292879,1348,346.0,91.0,167.0,18.0,622.0
92,收益级别_0mean_y,0.05244812076421729,0.0009736831691628166,0.0024557484,69,93.0,187.0,92.0,255.0,627.0
289,有外部评分,0.0239443590510122,0.0009066438856117137,0.004585871,220,290.0,198.0,20.0,126.0,634.0
127,商品价格max_y,0.04431012884363159,0.0034793662345560072,0.0028373348,20,128.0,83.0,62.0,366.0,639.0
376,拟实际应还贷款金额sum_x,0.01499570424806459,0.005025957113885686,0.002004156,1032,377.0,58.0,173.0,32.0,640.0
267,贷款年金min_x,0.02618687652373641,0.003297783435142168,0.0017098145000000002,1185,268.0,88.0,268.0,27.0,651.0
156,产品组合_14.0mean_x,0.04024719667682949,0.0019502239872852352,0.0017483095000000001,259,157.0,134.0,250.0,112.0,653.0
134,产品组合_12.0sum_x,0.043875897729247736,0.001063718256606798,0.0037297346000000004,39,135.0,179.0,31.0,311.0,656.0
125,居住信息1,0.0445379627699176,0.002457397701436041,0.0015092385999999998,431,126.0,117.0,342.0,83.0,668.0
65,地址是否一致标志sum,0.058051087601447074,0.0030980098587581875,0.0015856922,118,66.0,94.0,311.0,198.0,669.0
111,首付率mean_y,0.048551189229543226,0.002145619915932027,0.0018494304000000001,91,112.0,128.0,211.0,220.0,671.0
223,贷款年金min_y,0.03167796082026705,0.003015038471999785,0.0017755442999999999,235,224.0,100.0,239.0,119.0,682.0
